candidate_count,budget,method,trials,rounds_per_trial,signal_erasure_rate_mean,signal_erasure_rate_ci95,signal_survival_rate_mean,signal_survival_rate_ci95,mean_continuous_signal_tv_mean,mean_continuous_signal_tv_ci95,mean_instantaneous_allocation_tv_error_mean,mean_instantaneous_allocation_tv_error_ci95,mean_direction_coverage_mean,mean_direction_coverage_ci95,final_cumulative_allocation_tv_error_mean,final_cumulative_allocation_tv_error_ci95
4,4,cumulative_deficit,1000,10,0.4542,0.011902742770532406,0.5458,0.011902742770532406,0.04892522521967986,0.0007745593072460454,0.15228867259455903,0.0015095528037627887,2.5181,0.013461299343079923,0.013171480121608634,0.00023508400862423545
4,4,largest_remainder,1000,10,0.7833,0.008106968058843401,0.2167,0.008106968058843401,0.04892522521967986,0.0007745593072460454,0.11517025330688704,0.0008052395263533717,2.4920999999999998,0.013828403178909649,0.03621408157242928,0.000937569003648991
4,4,systematic_stochastic,1000,10,0.7489000000000001,0.008502336231024117,0.2511,0.008502336231024117,0.04892522521967986,0.0007745593072460454,0.14887588572413676,0.0012736848278892842,2.5094,0.013121238475202069,0.04791800930903507,0.0013483215076047917
4,8,cumulative_deficit,1000,10,0.32589999999999997,0.010405990050587831,0.6741,0.010405990050587831,0.04931641831753828,0.0007676159530201841,0.07892181287922775,0.0007106912252918017,2.9959,0.014115409859423122,0.006534809705548243,0.00011746628569070775
4,8,largest_remainder,1000,10,0.5876,0.009926948569016155,0.41240000000000004,0.009926948569016155,0.04931641831753828,0.0007676159530201841,0.06002187299614773,0.0003991390651028838,2.9615,0.014373834962581544,0.018579014320169045,0.00046131026437911245
4,8,systematic_stochastic,1000,10,0.5605,0.009791118097214108,0.4395,0.009791118097214106,0.04931641831753828,0.0007676159530201841,0.07755439855041373,0.0006462596596531495,2.9978000000000002,0.013748581241064189,0.024856537123018618,0.0006839379880166393
4,16,cumulative_deficit,1000,10,0.216,0.00836215163579207,0.784,0.00836215163579207,0.049089715820530885,0.0007702694159325737,0.041074290471221686,0.00036598701700632627,3.2923,0.013604558778422603,0.003255739627297267,6.0628043549189594e-05
4,16,largest_remainder,1000,10,0.37579999999999997,0.009167319625993474,0.6242,0.009167319625993474,0.049089715820530885,0.0007702694159325737,0.030959334321974473,0.00019527365216496465,3.2478999999999996,0.013865616245153256,0.00928755341958183,0.0002473358742522776
4,16,systematic_stochastic,1000,10,0.35619999999999996,0.009425273931546215,0.6437999999999999,0.009425273931546215,0.049089715820530885,0.0007702694159325737,0.03975577515078339,0.00032186212534929785,3.2819000000000003,0.013532527580859634,0.012552956664114628,0.0003486674191946338
4,32,cumulative_deficit,1000,10,0.1225,0.006540319088070074,0.8775000000000002,0.006540319088070075,0.04888782497744022,0.0007711568453091335,0.020904464132963665,0.00017966008356437382,3.5122,0.011603167919226276,0.0016515112997488863,3.0142102968339198e-05
4,32,largest_remainder,1000,10,0.21800000000000003,0.008122343384889737,0.782,0.008122343384889739,0.04888782497744022,0.0007711568453091335,0.015806918479922136,9.672972995086793e-05,3.4812,0.011819128762336956,0.0047921281192502075,0.00012651251006015653
4,32,systematic_stochastic,1000,10,0.2054,0.007968157533487806,0.7946,0.007968157533487808,0.04888782497744022,0.0007711568453091335,0.020316399992480024,0.0001612993721684479,3.5165,0.01168022911385527,0.006457188142376217,0.00017985334237970545
8,4,cumulative_deficit,1000,10,0.2252,0.009430046241037639,0.7748,0.009430046241037639,0.08069595257455524,0.0007626880433793217,0.28219497261330045,0.0018333221774606522,3.4819,0.011485119476670387,0.025809894315887396,0.00032318505293482577
8,4,largest_remainder,1000,10,0.6178999999999999,0.009086260896599935,0.3821,0.009086260896599935,0.08069595257455524,0.0007626880433793217,0.21478871464412663,0.0010826854261829285,3.4942999999999995,0.011315642190091298,0.07044754439361872,0.001216883559039533
8,4,systematic_stochastic,1000,10,0.48479999999999995,0.009688308627415832,0.5152,0.009688308627415832,0.08069595257455524,0.0007626880433793217,0.2785186542752757,0.0017595606278510549,3.4862,0.011586319886163361,0.09448226161161664,0.0017149275125551248
8,8,cumulative_deficit,1000,10,0.1129,0.006343277111123911,0.8871000000000001,0.006343277111123911,0.08068231952233385,0.0007579109056975262,0.14850269376456857,0.0009522894100650936,4.8232,0.019059054141293597,0.012872631618688473,0.00015765545950798083
8,8,largest_remainder,1000,10,0.3515,0.00949360779624843,0.6485,0.009493607796248431,0.08068231952233385,0.0007579109056975262,0.11243281257587702,0.0005104642403406201,4.7642999999999995,0.01909672170808372,0.03542732570022629,0.0006000922308289261
8,8,systematic_stochastic,1000,10,0.245,0.008410527270568059,0.755,0.008410527270568059,0.08068231952233385,0.0007579109056975262,0.14637357252550487,0.0009326898269869308,4.8134,0.01847285903223496,0.049037619651219375,0.0009371919848671532
8,16,cumulative_deficit,1000,10,0.0404,0.00400339872425235,0.9596000000000001,0.00400339872425235,0.0804269905236676,0.0007830476910419099,0.07737329703044943,0.0004592645059830725,5.7861,0.020017069504189054,0.006488970585825435,8.168009927700946e-05
8,16,largest_remainder,1000,10,0.12660000000000002,0.0066420359940417475,0.8734000000000001,0.006642035994041748,0.0804269905236676,0.0007830476910419099,0.0584322382242961,0.00026295785748310456,5.7212,0.020114210617490427,0.018229773150689504,0.0003000023090518838
8,16,systematic_stochastic,1000,10,0.08430000000000001,0.005233838847832926,0.9157000000000002,0.005233838847832925,0.0804269905236676,0.0007830476910419099,0.07570150777233063,0.0004435073817438333,5.7942,0.020171082895104102,0.024442140419446156,0.00046543569468002573
8,32,cumulative_deficit,1000,10,0.008400000000000001,0.0017859356848079024,0.9916,0.0017859356848079018,0.0803341770452072,0.0007443184311446066,0.04029827424992109,0.00023324590743953086,6.4312000000000005,0.019148106822631076,0.0032145408334342163,4.137818848822961e-05
8,32,largest_remainder,1000,10,0.0246,0.0031221128956097875,0.9754,0.0031221128956097867,0.0803341770452072,0.0007443184311446066,0.03048592111918254,0.00012355614822981623,6.363200000000001,0.019786068232777124,0.009214674740459205,0.0001609380641169748
8,32,systematic_stochastic,1000,10,0.0169,0.002514639543957749,0.9831,0.002514639543957748,0.0803341770452072,0.0007443184311446066,0.03964370209234082,0.0002226217162008509,6.4383,0.01982852242799946,0.012365029693054204,0.00023470524764708048
16,4,cumulative_deficit,1000,10,0.12780000000000002,0.007339194071941797,0.8722000000000001,0.007339194071941798,0.09978884785699159,0.0006775316207846997,0.49739473777929744,0.002052480115489472,3.9541999999999997,0.0041424343009802776,0.05120329189371555,0.00044631387706067316
16,4,largest_remainder,1000,10,0.44369999999999993,0.00945353607071133,0.5562999999999999,0.009453536070711331,0.09978884785699159,0.0006775316207846997,0.39332591632153874,0.00132093228849803,3.9653,0.003608369741058725,0.13493418443043317,0.001624387314236641
