candidate_count,budget,baseline,metric,baseline_minus_cumulative_mean,ci95,ci95_low,ci95_high
4,4,largest_remainder,signal_erasure_rate,0.32909999999999995,0.012706064173093523,0.31639393582690645,0.34180606417309345
4,4,largest_remainder,final_cumulative_allocation_tv_error,0.023042601450820648,0.0009551770754577661,0.02208742437536288,0.023997778526278414
4,4,largest_remainder,mean_instantaneous_allocation_tv_error,-0.03711841928767197,0.0012385173859002139,-0.038356936673572185,-0.03587990190177175
4,4,systematic_stochastic,signal_erasure_rate,0.29469999999999996,0.01397147650077155,0.2807285234992284,0.30867147650077154
4,4,systematic_stochastic,final_cumulative_allocation_tv_error,0.034746529187426434,0.0013652885937526658,0.03338124059367377,0.0361118177811791
4,4,systematic_stochastic,mean_instantaneous_allocation_tv_error,-0.0034127868704222674,0.0015936692575416096,-0.005006456127963877,-0.0018191176128806578
4,8,largest_remainder,signal_erasure_rate,0.2617,0.011789247547393926,0.24991075245260605,0.2734892475473939
4,8,largest_remainder,final_cumulative_allocation_tv_error,0.012044204614620798,0.0004732837030230001,0.011570920911597797,0.012517488317643799
4,8,largest_remainder,mean_instantaneous_allocation_tv_error,-0.01889993988308003,0.0006125760255402926,-0.019512515908620322,-0.018287363857539738
4,8,systematic_stochastic,signal_erasure_rate,0.2346,0.013002180695823559,0.22159781930417644,0.24760218069582357
4,8,systematic_stochastic,final_cumulative_allocation_tv_error,0.018321727417470377,0.0006966022637958262,0.01762512515367455,0.019018329681266204
4,8,systematic_stochastic,mean_instantaneous_allocation_tv_error,-0.001367414328814041,0.0007980775197430998,-0.0021654918485571406,-0.0005693368090709413
4,16,largest_remainder,signal_erasure_rate,0.1598,0.009429842345588958,0.15037015765441103,0.16922984234558897
4,16,largest_remainder,final_cumulative_allocation_tv_error,0.006031813792284564,0.000252632860027171,0.005779180932257393,0.006284446652311735
4,16,largest_remainder,mean_instantaneous_allocation_tv_error,-0.010114956149247213,0.00030566861167283265,-0.010420624760920046,-0.00980928753757438
